,"chel.mk.ru


mk.ru +23
    ",100,39800,45,32,0%,33 979,до 3-х суток,5 000 Р ,500 Р ,10k-15k,128,Авто; Бизнес; СМИ
,"drive2.ru


    ",100,33800,51,39,0%,554 714,до 3-х суток,5 000 Р ,600 Р ,100k+,8,Авто; СМИ; Услуги
,"spb.aif.ru


aif.ru +39
    ",100,27300,49,45,0%,44 964,до 3-х суток,24 900 Р ,700 Р ,15k-20k,139,Авто; Бизнес; СМИ
,"Адрес скрыт


    ",100,23700,76,60,0%,46 690,до 3-х суток,21 480 Р ,1 074 Р ,100k+,67,Бизнес; СМИ; Услуги
,"rusvesna.su


    ",100,18600,71,56,0%,48 570,менее суток,4 296 Р ,502 Р ,40k-50k,336,Бизнес; СМИ; Услуги
,"russian7.ru


    ",100,16700,44,16,10%,43 584,менее суток,1 000 Р ,120 Р ,100k+,5016,Культура; СМИ
,"business-gazeta.ru


business-gazeta.ru +2
    ",100,12900,66,49,4%,46 842,до 3-х суток,1 350 Р ,80 Р ,100k+,2095,Бизнес; Транспортные услуги; Услуги
,"vm.ru


    ",100,10800,61,52,1%,45 286,менее суток,7 200 Р ,750 Р ,100k+,572,СМИ
,"tsn.ua


tsn.ua +1
    ",100,9400,58,40,0%,51 782,до 3-х суток,32 219 Р ,1 074 Р ,100k+,41,Бизнес; СМИ; Услуги
,"km.ru


    ",100,9150,54,66,1%,44 235,до 3-х суток,4 143 Р ,702 Р ,30k-40k,500,Авто; Бизнес; СМИ
,"Адрес скрыт


online.ua +1
    ",100,9050,37,16,0%,45 004,менее суток,10 740 Р ,450 Р ,20k-30k,19,Женский раздел; Интернет; СМИ
,"Адрес скрыт


    ",100,8800,71,65,0%,50 051,до 3-х суток,28 639 Р ,1 074 Р ,100k+,52,Бизнес; СМИ; Услуги
,"66.ru


    ",100,8650,43,21,0%,47 374,менее суток,1 500 Р ,400 Р ,40k-50k,97,СМИ
,"rsute.ru


    ",100,8550,23,15,1%,44 800,менее суток,3 227 Р ,350 Р ,50k-70k,818,Бизнес; Офис; СМИ
,"klerk.ru


    ",100,8550,56,52,0%,169 798,менее суток,4 200 Р ,800 Р ,100k+,1998,Бизнес; Офис; СМИ
,"politnavigator.net


    ",100,7950,52,23,0%,48 347,менее суток,10 096 Р ,3 580 Р ,50k-70k,38,Бизнес; СМИ; Туризм
,"rusplt.ru


    ",100,7800,50,51,0%,63 879,менее суток,6 999 Р ,500 Р ,100k+,66,Бизнес; Культура; СМИ
,"audit-it.ru


    ",100,7700,52,27,0%,128 311,менее суток,2 950 Р ,410 Р ,50k-70k,561,Бизнес
,"Адрес скрыт


    ",100,7700,35,28,0%,47 043,до 3-х суток,3 366 Р ,502 Р ,100k+,417,Бизнес; Женский раздел; СМИ
,"bnkomi.ru


    ",100,7650,53,48,1%,78 629,до 3-х суток,1 100 Р ,85 Р ,50k-70k,1572,Бизнес; СМИ
,"calend.ru


    ",100,7600,69,69,0%,46 245,менее суток,6 500 Р ,1 046 Р ,50k-70k,517,Женский раздел; Отдых; Услуги
,"eg.ru


    ",100,7350,48,25,0%,50 068,до 3-х суток,40 000 Р ,600 Р ,100k+,196,Отдых
,"izvmor.ru


    ",100,7250,45,27,0%,43 938,до 3-х суток,3 600 Р ,200 Р ,50k-70k,330,Бизнес; СМИ; Услуги
,"pr.meta.ua


    ",100,7050,45,27,0%,10 158,менее суток,9 900 Р ,500 Р ,5k-10k,50,Авто; Здоровье; СМИ
,"gazeta.ua


    ",100,7000,59,48,0%,45 893,до 3-х суток,17 000 Р ,716 Р ,70k-100k,196,Бизнес; СМИ; Услуги
,"oko-planet.su


    ",100,7000,53,19,0%,808 821,менее суток,3 094 Р ,410 Р ,5k-10k,486,Бизнес; Образование; СМИ
,"zavtra.ru


    ",100,6750,44,47,1%,44 042,до 3-х суток,3 580 Р ,410 Р ,40k-50k,485,Культура; Образование; СМИ
,"bigpicture.ru


    ",100,6750,57,57,6%,78 360,менее суток,2 506 Р ,716 Р ,70k-100k,6177,Отдых; Строительство; Услуги
,"Адрес скрыт


    ",100,6700,50,49,1%,44 413,до 3-х суток,5 012 Р ,3 938 Р ,30k-40k,1037,Бизнес; Образование; СМИ
,"vse42.ru


vse42.ru +2
    ",100,6550,47,44,0%,45 260,до 3-х суток,9 300 Р ,500 Р ,70k-100k,50,Женский раздел; Недвижимость; СМИ
,"Адрес скрыт


    ",100,6550,40,43,0%,105 734,до 3-х суток,120 000 Р ,1 000 Р ,100k+,109,Услуги
,"bloknot-voronezh.ru


bloknot-voronezh.ru +2
    ",100,6450,42,17,1%,55 027,менее суток,3 000 Р ,600 Р ,30k-40k,716,Недвижимость; СМИ; Услуги
,"Адрес скрыт


    ",100,6300,52,32,0%,51 682,до 3-х суток,18 616 Р ,1 074 Р ,100k+,9,Бизнес; СМИ; Услуги
,"dni24.com


    ",100,6100,52,18,1%,45 057,менее суток,7 000 Р ,350 Р ,40k-50k,1220,СМИ
,"0629.com.ua


    ",100,6000,46,54,4%,45 544,менее суток,2 789 Р ,199 Р ,15k-20k,2732,Бизнес; СМИ; Услуги
,"shkolazhizni.ru


    ",100,6000,57,58,1%,45 694,менее суток,6 500 Р ,1 100 Р ,70k-100k,589,Женский раздел; Здоровье; Услуги
,"1rre.ru


    ",100,5950,26,17,1%,44 762,менее суток,3 580 Р ,600 Р ,100k+,541,Бизнес; Недвижимость; СМИ
,"Адрес скрыт


    ",100,5700,48,29,0%,45 875,до 3-х суток,26 000 Р ,600 Р ,50k-70k,97,Быт. техника; Мобильные технологии; СМИ
,"Адрес скрыт


versia.ru +4
    ",100,5700,48,48,0%,44 934,до 3-х суток,5 012 Р ,3 580 Р ,70k-100k,443,Здоровье; Образование; СМИ
,"orenburg.bezformata.com


bezformata.com +109
    ",100,5700,52,17,0%,45 182,до 3-х суток,1 500 Р ,300 Р ,5k-10k,23,Бизнес; Культура; СМИ
,"photobank.sarbc.ru


sarbc.ru +2
    ",100,5600,33,25,0%,44 254,до 3-х суток,500 Р ,240 Р ,2k-5k,139,Культура; СМИ
,"c-inform.info


    ",100,5500,61,57,0%,90 132,до 3-х суток,2 258 Р ,604 Р ,20k-30k,748,Бизнес; СМИ; Услуги
,"infpol.ru


    ",100,5400,47,51,3%,48 007,до 3-х суток,1 100 Р ,85 Р ,30k-40k,1893,Услуги
,"intex-press.by


    ",100,5400,50,23,2%,46 784,до 3-х суток,1 263 Р ,680 Р ,100k+,1316,СМИ
,"argumentiru.com


    ",100,5350,44,18,1%,44 247,до 3-х суток,1 850 Р ,600 Р ,50k-70k,866,Женский раздел; СМИ; Строительство
,"kakprosto.ru


    ",100,5300,46,29,0%,60 369,менее суток,18 000 Р ,10 Р ,70k-100k,112,Быт; Женский раздел; Строительство
,"v-kosmose.com


    ",100,5300,34,20,1%,20 147,менее суток,1 647 Р ,1 074 Р ,100k+,250,Образование; Отдых
,"lifedon.com.ua


    ",100,5300,43,43,5%,44 788,менее суток,630 Р ,500 Р ,50k-70k,3141,Бизнес; Производство; СМИ
,"komiinform.ru


    ",100,5250,51,49,3%,45 203,до 3-х суток,830 Р ,80 Р ,30k-40k,1806,Недвижимость; Образование; СМИ
,"newsland.com


    ",100,5200,58,45,0%,46 888,менее суток,7 876 Р ,1 790 Р ,20k-30k,52,Услуги
,"grodno24.com


    ",100,5100,37,21,1%,39 992,менее суток,1 790 Р ,716 Р ,100k+,750,Авто; Бизнес; СМИ
,"dialog.ua


    ",100,5100,61,20,0%,47 879,менее суток,21 480 Р ,1 074 Р ,30k-40k,8,Бизнес; СМИ; Услуги
,"1777.ru


    ",100,5050,45,18,7%,6 994,менее суток,999 Р ,299 Р ,2k-5k,591,Недвижимость; Работа; СМИ
,"chitalnya.ru


    ",100,5050,31,30,0%,49 750,менее суток,1 500 Р ,1 200 Р ,20k-30k,188,Культура; СМИ
,"kp40.ru


kp40.ru +1
    ",100,4990,48,39,0%,44 799,менее суток,2 500 Р ,270 Р ,30k-40k,261,Авто; Недвижимость; СМИ
,"nversia.ru


    ",100,4990,48,19,0%,45 015,менее суток,3 000 Р ,410 Р ,70k-100k,21,СМИ
,"donnews.ru


    ",100,4970,53,19,8%,43 308,менее суток,700 Р ,400 Р ,30k-40k,4042,Бизнес; СМИ; Услуги
,"bloknot-rostov.ru


    ",100,4910,48,30,0%,51 994,менее суток,3 000 Р ,600 Р ,20k-30k,464,Культура; Отдых; СМИ
,"73online.ru


    ",100,4900,41,44,0%,44 857,менее суток,5 000 Р ,1 000 Р ,70k-100k,90,Бизнес; Недвижимость; СМИ
,"vchaspik.ua


    ",100,4880,48,19,0%,983 542,менее суток,2 399 Р ,600 Р ,10k-15k,3847,Бизнес; Женский раздел; СМИ
,"lada.kz


    ",100,4810,49,46,0%,44 006,менее суток,10 000 Р ,500 Р ,100k+,26,Бизнес; СМИ
,"bryansktoday.ru


    ",100,4800,38,18,3%,44 727,до 3-х суток,901 Р ,85 Р ,50k-70k,1632,Бизнес; Недвижимость; СМИ
,"Адрес скрыт


    ",100,4740,54,21,0%,32 652,менее суток,3 500 Р ,500 Р ,50k-70k,101,Образование; СМИ; Туризм
,"kh.vgorode.ua


vgorode.ua +7
    ",100,4700,39,18,0%,44 101,до 3-х суток,14 320 Р ,500 Р ,100k+,64,Бизнес; СМИ; Услуги
,"gorno-altaisk.info


    ",100,4660,43,39,0%,31 069,до 3-х суток,3 200 Р ,500 Р ,20k-30k,195,Культура; СМИ; Услуги
,"ktv-ray.ru


    ",100,4640,45,18,0%,45 031,до 3-х суток,4 500 Р ,550 Р ,100k+,59,Бизнес; Культура; СМИ
,"pg21.ru


    ",100,4630,48,16,0%,45 065,менее суток,1 500 Р ,3 000 Р ,70k-100k,494,СМИ
,"wroom.ru


    ",100,4600,44,15,1%,47 956,менее суток,1 190 Р ,390 Р ,40k-50k,815,Авто; СМИ; Транспортные услуги
,"rzn.info


    ",100,4570,39,48,0%,44 959,менее суток,10 740 Р ,1 615 Р ,70k-100k,31,СМИ
,"26-2.ru


    ",100,4530,38,36,0%,47 461,до 3-х суток,30 000 Р ,1 000 Р ,100k+,13,СМИ
,"nbnews.com.ua


    ",100,4430,28,12,1%,44 988,менее суток,2 490 Р ,390 Р ,70k-100k,724,Бизнес; Образование; СМИ
,"izvestia.kiev.ua


    ",100,4270,49,16,0%,44 696,до 3-х суток,14 320 Р ,1 074 Р ,5k-10k,21,Бизнес; СМИ; Услуги
,"metronews.ru


    ",100,4260,53,61,0%,646 932,менее суток,1 690 Р ,1 800 Р ,40k-50k,6087,СМИ
,"bloknot-volgodonsk.ru


    ",100,4190,41,15,0%,63 633,менее суток,3 000 Р ,600 Р ,20k-30k,225,Культура; Отдых; СМИ
,"v-tagile.ru


    ",100,4180,20,24,3%,35 797,менее суток,985 Р ,370 Р ,40k-50k,1626,Авто; Бизнес; СМИ
,"mydiv.net


    ",100,4180,45,39,0%,4 748,до 3-х суток,11 456 Р ,4 296 Р ,2k-5k,8,Компьютеры; Мобильные технологии
,"kaspyinfo.ru


    ",100,4160,42,18,0%,23 526,менее суток,11 000 Р ,550 Р ,20k-30k,17,Недвижимость; Отдых; СМИ
,"syzran-small.ru


    ",100,4140,25,13,1%,44 272,менее суток,1 074 Р ,250 Р ,40k-50k,780,Быт. техника; СМИ; Услуги
,"maxpark.com


    ",100,4140,56,42,0%,48 059,менее суток,7 876 Р ,1 790 Р ,5k-10k,20,Услуги
,"mr-7.ru


    ",100,4120,64,51,0%,44 415,менее суток,4 850 Р ,650 Р ,20k-30k,158,Отдых; СМИ; Услуги
,"progorodsamara.ru


    ",100,4090,50,19,6%,44 915,менее суток,550 Р ,270 Р ,50k-70k,3487,Бизнес; Культура; СМИ
,"belaruspartisan.by


    ",100,4090,47,21,1%,51 937,до 3-х суток,1 085 Р ,217 Р ,100k+,813,СМИ
,"moluch.ru


    ",100,4070,46,19,0%,46 086,менее суток,1 700 Р ,573 Р ,70k-100k,435,Образование; СМИ
,"e-news.su


    ",100,4060,21,12,1%,45 310,менее суток,900 Р ,250 Р ,10k-15k,808,Бизнес; Здоровье; СМИ
,"monavista.ru


monavista.ru +30
    ",100,4050,36,19,5%,23 915,менее суток,1 499 Р ,716 Р ,50k-70k,1552,Бизнес; Отдых; СМИ
,"tomsk.ru


    ",100,4040,43,48,1%,44 511,до 3-х суток,5 200 Р ,700 Р ,5k-10k,857,Бизнес; Интернет; СМИ
,"sib.fm


    ",100,3980,50,50,0%,45 605,менее суток,11 000 Р ,450 Р ,100k+,194,Бизнес; Образование; СМИ
,"auto.tut.by


tut.by +8
    ",100,3950,45,35,0%,44 609,до 3-х суток,12 888 Р ,1 000 Р ,100k+,8,Авто; СМИ
,"fn-volga.ru


    ",100,3870,42,20,0%,44 600,менее суток,7 000 Р ,2 000 Р ,30k-40k,15,Бизнес; СМИ
,"ya62.ru


    ",100,3860,41,18,0%,44 500,до 3-х суток,9 000 Р ,500 Р ,50k-70k,45,Авто; Бизнес; Недвижимость
,"prokazan.ru


    ",100,3850,48,46,5%,45 464,менее суток,900 Р ,300 Р ,20k-30k,2631,Культура; СМИ; Туризм
,"volzsky.ru


    ",100,3850,45,30,10%,44 581,менее суток,699 Р ,150 Р ,10k-15k,5249,Недвижимость; СМИ; Услуги
,"Адрес скрыт


    ",100,3840,57,66,0%,56 739,менее суток,7 160 Р ,358 Р ,70k-100k,455,Бизнес; Туризм; Услуги
,"apsny.ge


    ",100,3800,49,58,0%,43 917,до 3-х суток,4 600 Р ,400 Р ,5k-10k,55,Услуги
,"glavred.info


    ",100,3760,57,58,0%,46 469,до 3-х суток,20 048 Р ,1 074 Р ,30k-40k,18,Бизнес; Интернет; СМИ
,"mosregtoday.ru


    ",100,3730,49,23,0%,62 089,до 3-х суток,12 500 Р ,500 Р ,70k-100k,90,Бизнес; Культура; СМИ
,"gorod55.ru


    ",100,3730,44,43,0%,46 704,до 3-х суток,3 000 Р ,1 000 Р ,40k-50k,154,Бизнес; Интернет; СМИ
,"auto.bvf.ru


bvf.ru +1
    ",100,3700,29,15,0%,7 758,до 3-х суток,6 000 Р ,500 Р ,10k-15k,7,Авто; Недвижимость
,"astv.ru


    ",100,3700,46,25,0%,33 614,до 3-х суток,2 640 Р ,410 Р ,30k-40k,70,Бизнес; Отдых; СМИ
,"igis.ru


    ",100,3680,38,18,4%,45 891,менее суток,502 Р ,430 Р ,50k-70k,2425,Здоровье; Недвижимость; Строительство
,"netall.ru


    ",100,3670,39,45,0%,93 618,менее суток,10 000 Р ,500 Р ,5k-10k,40,Авто; СМИ; Туризм
,"Адрес скрыт


    ",100,3650,37,35,0%,44 168,менее суток,2 864 Р ,270 Р ,50k-70k,364,Авто; Интернет; СМИ
,"tlt.ru


    ",100,3600,43,43,0%,43 847,до 3-х суток,2 500 Р ,2 500 Р ,20k-30k,259,Авто; Бизнес; Туризм
,"newsvo.ru


    ",100,3510,46,50,1%,1 031 589,менее суток,270 Р ,90 Р ,10k-15k,14306,Авто; Недвижимость; СМИ
,"avtosreda.ru


    ",100,3500,44,26,6%,45 604,менее суток,890 Р ,240 Р ,10k-15k,3771,Авто; СМИ; Транспортные услуги
,"Ftimes.ru


    ",100,3500,21,12,1%,44 427,менее суток,2 900 Р ,450 Р ,20k-30k,532,Бизнес; Здоровье; СМИ
,"ussurmedia.ru


    ",100,3500,29,20,0%,44 776,до 3-х суток,15 000 Р ,500 Р ,100k+,4,Бизнес; Отдых; СМИ
,"news.sputnik.ru


    ",100,3500,34,21,0%,81 516,менее суток,7 500 Р ,500 Р ,5k-10k,24,Бизнес; Культура; Строительство
,"bloknot-krasnodar.ru


    ",100,3490,45,23,0%,64 373,менее суток,3 000 Р ,600 Р ,15k-20k,471,СМИ
,"abnews.ru


    ",100,3440,45,50,0%,44 144,менее суток,4 474 Р ,3 580 Р ,50k-70k,27,Бизнес; Недвижимость; СМИ
,"gorodche.ru


    ",100,3380,43,15,0%,52 909,менее суток,2 800 Р ,500 Р ,20k-30k,277,Авто; Здоровье; СМИ
,"nashgorod.ru


    ",100,3380,46,49,0%,26 778,менее суток,3 671 Р ,1 228 Р ,15k-20k,212,Недвижимость; СМИ; Строительство
,"news.21.by


    ",100,3360,n/a,n/a,0%,53 487,до 3-х суток,7 500 Р ,440 Р ,20k-30k,506,Услуги
,"kirov-portal.ru


    ",100,3340,38,20,1%,45 388,менее суток,900 Р ,250 Р ,5k-10k,480,СМИ
,"pandoraopen.ru


    ",100,3310,34,25,4%,31 472,менее суток,746 Р ,466 Р ,2k-5k,1719,Здоровье; Образование; СМИ
,"worldcrisis.ru


    ",100,3300,45,42,3%,45 419,менее суток,1 050 Р ,150 Р ,2k-5k,1585,Бизнес; СМИ
,"dnr24.su


    ",100,3290,48,9,0%,33 352,менее суток,716 Р ,573 Р ,5k-10k,239,Бизнес; Культура; СМИ
,"kafanews.com


    ",100,3280,41,46,0%,43 387,менее суток,1 146 Р ,358 Р ,2k-5k,304,СМИ
,"versii.com


    ",100,3270,62,54,0%,44 903,менее суток,5 370 Р ,358 Р ,15k-20k,266,Бизнес; СМИ; Спорт
,"newsomsk.ru


    ",100,3270,24,26,2%,44 724,до 3-х суток,716 Р ,1 074 Р ,20k-30k,1321,Здоровье; СМИ; Услуги
,"Адрес скрыт


    ",100,3270,43,30,0%,44 734,менее суток,2 000 Р ,450 Р ,2k-5k,32,СМИ
,"lady.day.az


    ",100,3250,40,32,0%,17 450,до 3-х суток,19 000 Р ,500 Р ,40k-50k,5,Женский раздел; Здоровье
,"progorod43.ru


    ",100,3230,62,42,0%,44 788,менее суток,4 000 Р ,600 Р ,50k-70k,254,СМИ
,"newsorel.ru


    ",100,3230,46,26,0%,43 697,менее суток,13 000 Р ,500 Р ,20k-30k,8,Бизнес; СМИ; Строительство
,"progorod76.ru


    ",100,3220,42,19,0%,44 666,менее суток,4 900 Р ,500 Р ,70k-100k,295,Бизнес; СМИ; Услуги
,"yerkramas.org


    ",100,3200,34,19,5%,45 094,менее суток,520 Р ,200 Р ,2k-5k,3077,СМИ
,"Адрес скрыт


    ",100,3200,45,17,0%,251 551,до 3-х суток,860 Р ,390 Р ,20k-30k,116,Бизнес; СМИ; Строительство
,"chelseablues.ru


    ",100,3180,39,50,0%,44 548,менее суток,1 299 Р ,399 Р ,20k-30k,320,СМИ; Спорт
,"tagilcity.ru


    ",100,3160,41,42,2%,48 472,до 3-х суток,1 990 Р ,2 256 Р ,20k-30k,1918,Бизнес; СМИ; Туризм
,"pronedra.ru


    ",100,3160,38,15,0%,45 351,менее суток,3 830 Р ,400 Р ,40k-50k,162,Бизнес; Производство; СМИ
,"Адрес скрыт


    ",100,3160,37,20,0%,44 614,менее суток,3 580 Р ,410 Р ,20k-30k,254,Здоровье; Недвижимость; Услуги
,"meduniver.com


    ",100,3150,35,26,0%,69 290,менее суток,5 012 Р ,900 Р ,15k-20k,533,Женский раздел; Здоровье; Образование
,"vologda-poisk.ru


    ",100,3150,44,15,0%,44 753,до 3-х суток,6 673 Р ,3 949 Р ,20k-30k,18,СМИ
,"computerra.ru


    ",100,3150,50,62,0%,38 507,менее суток,7 000 Р ,1 146 Р ,10k-15k,90,Компьютеры; СМИ
,"uapress.info


    ",100,3130,39,24,1%,44 386,менее суток,2 793 Р ,429 Р ,1k-2k,734,Бизнес; Образование; СМИ
,"ufacitynews.ru


    ",100,3130,45,16,0%,44 787,до 3-х суток,16 870 Р ,2 500 Р ,50k-70k,37,СМИ
,"3652.ru


    ",100,3120,53,43,3%,44 794,менее суток,1 498 Р ,215 Р ,5k-10k,1915,Здоровье; СМИ; Услуги
,"infokam.su


    ",100,3110,47,22,6%,43 845,менее суток,500 Р ,200 Р ,5k-10k,3354,СМИ; Строительство; Услуги
,"asn24.ru


    ",100,3080,49,17,0%,44 339,до 3-х суток,3 700 Р ,550 Р ,15k-20k,67,Бизнес; Культура; СМИ
,"ruspravda.info


    ",100,3070,47,13,3%,28 786,менее суток,645 Р ,502 Р ,10k-15k,1063,СМИ
,"tltgorod.ru


    ",100,3050,35,16,5%,44 130,менее суток,550 Р ,240 Р ,2k-5k,2603,Недвижимость; СМИ; Услуги
,"yaom.ru


    ",100,3030,37,34,1%,51 241,до 3-х суток,1 576 Р ,258 Р ,15k-20k,966,Культура; Отдых; СМИ
,"gorobzor.ru


    ",100,2970,60,35,4%,44 671,до 3-х суток,785 Р ,85 Р ,50k-70k,2100,Бизнес; Образование; СМИ
,"healthinfo.ua


    ",100,2950,50,17,0%,45 008,менее суток,3 938 Р ,420 Р ,1k-2k,99,Здоровье; Туризм; Услуги
,"smolensk-i.ru


    ",100,2940,49,21,1%,44 829,до 3-х суток,1 150 Р ,85 Р ,5k-10k,593,Бизнес; Недвижимость; СМИ
,"u-f.ru


    ",100,2920,44,16,0%,137 027,до 3-х суток,3 580 Р ,1 074 Р ,100k+,604,Здоровье; Отдых; СМИ
,"volga.news


volga.news +3
    ",100,2910,68,45,1%,45 522,менее суток,1 619 Р ,175 Р ,5k-10k,1190,СМИ
,"comandir.com


    ",100,2880,17,12,1%,35 415,менее суток,2 200 Р ,300 Р ,30k-40k,724,Бизнес; СМИ; Услуги
,"turizm.ru


    ",100,2830,38,34,0%,43 608,до 3-х суток,21 480 Р ,716 Р ,10k-15k,45,Бизнес; СМИ; Туризм
,"turtella.ru


turtella.ru +1
    ",100,2820,42,21,0%,44 292,менее суток,3 580 Р ,287 Р ,2k-5k,258,Туризм
,"chel.mk.ru


mk.ru +23
    ",100,39800,45,32,0%,33 979,до 3-х суток,5 000 Р ,500 Р ,10k-15k,128,Авто; Бизнес; СМИ
,"drive2.ru


    ",100,33800,51,39,0%,554 714,до 3-х суток,5 000 Р ,600 Р ,100k+,8,Авто; СМИ; Услуги
,"spb.aif.ru


aif.ru +39
    ",100,27300,49,45,0%,44 964,до 3-х суток,24 900 Р ,700 Р ,15k-20k,139,Авто; Бизнес; СМИ
,"Адрес скрыт


    ",100,23700,76,60,0%,46 690,до 3-х суток,21 480 Р ,1 074 Р ,100k+,67,Бизнес; СМИ; Услуги
,"rusvesna.su


    ",100,18600,71,56,0%,48 570,менее суток,4 296 Р ,502 Р ,40k-50k,336,Бизнес; СМИ; Услуги
,"russian7.ru


    ",100,16700,44,16,10%,43 584,менее суток,1 000 Р ,120 Р ,100k+,5016,Культура; СМИ
,"business-gazeta.ru


business-gazeta.ru +2
    ",100,12900,66,49,4%,46 842,до 3-х суток,1 350 Р ,80 Р ,100k+,2095,Бизнес; Транспортные услуги; Услуги
,"vm.ru


    ",100,10800,61,52,1%,45 286,менее суток,7 200 Р ,750 Р ,100k+,572,СМИ
,"tsn.ua


tsn.ua +1
    ",100,9400,58,40,0%,51 782,до 3-х суток,32 219 Р ,1 074 Р ,100k+,41,Бизнес; СМИ; Услуги
,"km.ru


    ",100,9150,54,66,1%,44 235,до 3-х суток,4 143 Р ,702 Р ,30k-40k,500,Авто; Бизнес; СМИ
,"Адрес скрыт


online.ua +1
    ",100,9050,37,16,0%,45 004,менее суток,10 740 Р ,450 Р ,20k-30k,19,Женский раздел; Интернет; СМИ
,"Адрес скрыт


    ",100,8800,71,65,0%,50 051,до 3-х суток,28 639 Р ,1 074 Р ,100k+,52,Бизнес; СМИ; Услуги
,"66.ru


    ",100,8650,43,21,0%,47 374,менее суток,1 500 Р ,400 Р ,40k-50k,97,СМИ
,"rsute.ru


    ",100,8550,23,15,1%,44 800,менее суток,3 227 Р ,350 Р ,50k-70k,818,Бизнес; Офис; СМИ
,"klerk.ru


    ",100,8550,56,52,0%,169 798,менее суток,4 200 Р ,800 Р ,100k+,1998,Бизнес; Офис; СМИ
,"politnavigator.net


    ",100,7950,52,23,0%,48 347,менее суток,10 096 Р ,3 580 Р ,50k-70k,38,Бизнес; СМИ; Туризм
,"rusplt.ru


    ",100,7800,50,51,0%,63 879,менее суток,6 999 Р ,500 Р ,100k+,66,Бизнес; Культура; СМИ
,"audit-it.ru


    ",100,7700,52,27,0%,128 311,менее суток,2 950 Р ,410 Р ,50k-70k,561,Бизнес
,"Адрес скрыт


    ",100,7700,35,28,0%,47 043,до 3-х суток,3 366 Р ,502 Р ,100k+,417,Бизнес; Женский раздел; СМИ
,"bnkomi.ru


    ",100,7650,53,48,1%,78 629,до 3-х суток,1 100 Р ,85 Р ,50k-70k,1572,Бизнес; СМИ
,"calend.ru


    ",100,7600,69,69,0%,46 245,менее суток,6 500 Р ,1 046 Р ,50k-70k,517,Женский раздел; Отдых; Услуги
,"eg.ru


    ",100,7350,48,25,0%,50 068,до 3-х суток,40 000 Р ,600 Р ,100k+,196,Отдых
,"izvmor.ru


    ",100,7250,45,27,0%,43 938,до 3-х суток,3 600 Р ,200 Р ,50k-70k,330,Бизнес; СМИ; Услуги
,"pr.meta.ua


    ",100,7050,45,27,0%,10 158,менее суток,9 900 Р ,500 Р ,5k-10k,50,Авто; Здоровье; СМИ
,"gazeta.ua


    ",100,7000,59,48,0%,45 893,до 3-х суток,17 000 Р ,716 Р ,70k-100k,196,Бизнес; СМИ; Услуги
,"oko-planet.su


    ",100,7000,53,19,0%,808 821,менее суток,3 094 Р ,410 Р ,5k-10k,486,Бизнес; Образование; СМИ
,"zavtra.ru


    ",100,6750,44,47,1%,44 042,до 3-х суток,3 580 Р ,410 Р ,40k-50k,485,Культура; Образование; СМИ
,"bigpicture.ru


    ",100,6750,57,57,6%,78 360,менее суток,2 506 Р ,716 Р ,70k-100k,6177,Отдых; Строительство; Услуги
,"Адрес скрыт


    ",100,6700,50,49,1%,44 413,до 3-х суток,5 012 Р ,3 938 Р ,30k-40k,1037,Бизнес; Образование; СМИ
,"vse42.ru


vse42.ru +2
    ",100,6550,47,44,0%,45 260,до 3-х суток,9 300 Р ,500 Р ,70k-100k,50,Женский раздел; Недвижимость; СМИ
,"Адрес скрыт


    ",100,6550,40,43,0%,105 734,до 3-х суток,120 000 Р ,1 000 Р ,100k+,109,Услуги
,"bloknot-voronezh.ru


bloknot-voronezh.ru +2
    ",100,6450,42,17,1%,55 027,менее суток,3 000 Р ,600 Р ,30k-40k,716,Недвижимость; СМИ; Услуги
